subject,idna_subject,expiration_date,epoch
1-1ads.com,1-1ads.com,20-jul-2021,1626739200.0
101com.com,101com.com,17-nov-2021,1637107200.0
101order.com,101order.com,14-aug-2021,1628899200.0
123freeavatars.com,123freeavatars.com,15-jun-2021,1623715200.0
180searchassistant.com,180searchassistant.com,11-mar-2021,1615420800.0
1rx.io,1rx.io,28-may-2022,1653696000.0
207.net,207.net,10-jul-2021,1625875200.0
247media.com,247media.com,26-oct-2022,1666742400.0
24log.com,24log.com,26-may-2024,1716681600.0
24pm-affiliation.com,24pm-affiliation.com,25-jun-2021,1624579200.0
2mdn.net,2mdn.net,02-may-2021,1619913600.0
2o7.net,2o7.net,29-sep-2021,1632873600.0
2znp09oa.com,2znp09oa.com,24-feb-2021,1614124800.0
30ads.com,30ads.com,24-apr-2021,1619222400.0
33across.com,33across.com,29-sep-2022,1664409600.0
360yield.com,360yield.com,02-jun-2021,1622592000.0
4affiliate.net,4affiliate.net,18-jun-2021,1623974400.0
4d5.net,4d5.net,01-jun-2021,1622505600.0
4info.com,4info.com,28-aug-2022,1661644800.0
4jnzhl0d0.com,4jnzhl0d0.com,24-feb-2021,1614124800.0
50websads.com,50websads.com,05-may-2021,1620172800.0
518ad.com,518ad.com,05-mar-2025,1741132800.0
51yes.com,51yes.com,24-nov-2021,1637712000.0
5mcwl.pw,5mcwl.pw,14-apr-2021,1618358400.0
6ldu6qa.com,6ldu6qa.com,24-feb-2021,1614124800.0
6sc.co,6sc.co,11-dec-2022,1670716800.0
777partner.com,777partner.com,20-jan-2021,1611100800.0
77tracking.com,77tracking.com,07-apr-2021,1617753600.0
7bpeople.com,7bpeople.com,07-aug-2022,1659830400.0
7search.com,7search.com,25-may-2021,1621900800.0
82o9v830.com,82o9v830.com,24-feb-2021,1614124800.0
a-ads.com,a-ads.com,07-jul-2021,1625616000.0
a8a8altrk.com,a8a8altrk.com,04-feb-2021,1612396800.0
aaddzz.com,aaddzz.com,27-feb-2021,1614384000.0
aaxads.com,aaxads.com,25-oct-2021,1635120000.0
aaxdetect.com,aaxdetect.com,15-nov-2021,1636934400.0
abacho.net,abacho.net,16-sep-2021,1631750400.0
abackchain.com,abackchain.com,13-dec-2021,1639353600.0
abandonedaction.com,abandonedaction.com,17-aug-2021,1629158400.0
abashedangle.com,abashedangle.com,17-aug-2021,1629158400.0
abc-ads.com,abc-ads.com,15-dec-2022,1671062400.0
aboardlevel.com,aboardlevel.com,05-oct-2022,1664928000.0
abruptroad.com,abruptroad.com,21-mar-2021,1616284800.0
absentstream.com,absentstream.com,13-dec-2021,1639353600.0
absoluteclickscom.com,absoluteclickscom.com,10-apr-2021,1618012800.0
absorbingband.com,absorbingband.com,05-oct-2021,1633392000.0
absurdwater.com,absurdwater.com,13-dec-2021,1639353600.0
abtasty.com,abtasty.com,09-aug-2021,1628467200.0
abz.com,abz.com,21-feb-2021,1613865600.0
acbsearch.com,acbsearch.com,14-oct-2021,1634169600.0
acid-adserver.click,acid-adserver.click,22-jun-2021,1624320000.0
acridtwist.com,acridtwist.com,30-nov-2021,1638230400.0
actionsplash.com,actionsplash.com,13-jun-2021,1623542400.0
actualdeals.com,actualdeals.com,01-mar-2021,1614556800.0
actuallysheep.com,actuallysheep.com,21-mar-2021,1616284800.0
actuallysnake.com,actuallysnake.com,30-nov-2021,1638230400.0
acuityads.com,acuityads.com,25-sep-2021,1632528000.0
acuityplatform.com,acuityplatform.com,27-may-2022,1653609600.0
ad-balancer.net,ad-balancer.net,20-may-2021,1621468800.0
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0
ad-rotator.com,ad-rotator.com,27-jun-2027,1814054400.0
ad-score.com,ad-score.com,01-aug-2027,1817078400.0
ad-space.net,ad-space.net,15-jun-2021,1623715200.0
ad-tech.com,ad-tech.com,20-may-2021,1621468800.0
ad-up.com,ad-up.com,11-jul-2022,1657497600.0
ad.mg,ad.mg,07-oct-2021,1633564800.0
ad.style,ad.style,05-dec-2021,1638662400.0
ad4game.com,ad4game.com,12-may-2021,1620777600.0
ad4mat.com,ad4mat.com,03-mar-2021,1614729600.0
ad4mat.net,ad4mat.net,01-mar-2021,1614556800.0
adabra.com,adabra.com,29-mar-2021,1616976000.0
adadvisor.net,adadvisor.net,08-apr-2022,1649376000.0
adalliance.io,adalliance.io,02-feb-2021,1612224000.0
adap.tv,adap.tv,21-feb-2021,1613865600.0
adapt.tv,adapt.tv,19-dec-2021,1639872000.0
adaranth.com,adaranth.com,05-mar-2021,1614902400.0
adback.co,adback.co,04-nov-2022,1667520000.0
adblade.com,adblade.com,30-oct-2021,1635552000.0
adblade.org,adblade.org,16-aug-2021,1629072000.0
adblockanalytics.com,adblockanalytics.com,03-feb-2021,1612310400.0
adbooth.net,adbooth.net,23-mar-2023,1679529600.0
adbot.com,adbot.com,04-dec-2021,1638576000.0
adbrite.com,adbrite.com,16-jun-2021,1623801600.0
adbrn.com,adbrn.com,21-aug-2021,1629504000.0
adbunker.com,adbunker.com,06-mar-2021,1614988800.0
adbutler.com,adbutler.com,16-mar-2023,1678924800.0
adbuyer.com,adbuyer.com,24-sep-2021,1632441600.0
adcampo.com,adcampo.com,25-aug-2021,1629849600.0
adcannyads.com,adcannyads.com,21-jan-2021,1611187200.0
adcash.com,adcash.com,20-nov-2021,1637366400.0
adcenter.net,adcenter.net,30-mar-2021,1617062400.0
adcentriconline.com,adcentriconline.com,20-dec-2021,1639958400.0
adclick.com,adclick.com,22-sep-2021,1632268800.0
adcolony.com,adcolony.com,07-aug-2021,1628294400.0
adcomplete.com,adcomplete.com,18-dec-2021,1639785600.0
adcontrolsolutions.net,adcontrolsolutions.net,26-jun-2021,1624665600.0
adcycle.com,adcycle.com,27-oct-2021,1635292800.0
addfreestats.com,addfreestats.com,21-aug-2021,1629504000.0
addme.com,addme.com,28-jul-2024,1722124800.0
adecn.com,adecn.com,29-nov-2021,1638144000.0
adeimptrck.com,adeimptrck.com,12-sep-2021,1631404800.0
ademails.com,ademails.com,29-jul-2022,1659052800.0
adengage.com,adengage.com,19-mar-2021,1616112000.0
adetracking.com,adetracking.com,27-jan-2021,1611705600.0
adexc.net,adexc.net,07-aug-2021,1628294400.0
adexchangegate.com,adexchangegate.com,27-apr-2021,1619481600.0
adexchangeprediction.com,adexchangeprediction.com,27-apr-2021,1619481600.0
adexpose.com,adexpose.com,09-aug-2021,1628467200.0
adf.ly,adf.ly,25-apr-2021,1619308800.0
adflight.com,adflight.com,01-mar-2021,1614556800.0
adforce.com,adforce.com,02-aug-2022,1659398400.0
adform.com,adform.com,16-jul-2023,1689465600.0
adform.net,adform.net,23-sep-2023,1695427200.0
adformdsp.net,adformdsp.net,02-aug-2023,1690934400.0
adfries.info,adfries.info,15-feb-2021,1613347200.0
adgoto.com,adgoto.com,16-apr-2021,1618531200.0
adhaven.com,adhaven.com,08-nov-2021,1636329600.0
adhese.com,adhese.com,04-apr-2025,1743724800.0
adhigh.net,adhigh.net,15-oct-2024,1728950400.0
adhoc4.net,adhoc4.net,19-oct-2021,1634601600.0
adhunter.media,adhunter.media,23-nov-2021,1637625600.0
adimpact.com,adimpact.com,26-sep-2021,1632614400.0
adincube.com,adincube.com,23-feb-2021,1614038400.0
adinjector.net,adinjector.net,10-sep-2021,1631232000.0
adinterax.com,adinterax.com,23-jan-2021,1611360000.0
adisfy.com,adisfy.com,31-jul-2021,1627689600.0
adition.com,adition.com,30-may-2021,1622332800.0
adition.net,adition.net,18-jul-2021,1626566400.0
adizio.com,adizio.com,26-mar-2021,1616716800.0
adjix.com,adjix.com,06-dec-2021,1638748800.0
adjug.com,adjug.com,14-aug-2024,1723593600.0
adjuggler.com,adjuggler.com,20-nov-2022,1668902400.0
adjustnetwork.com,adjustnetwork.com,18-apr-2021,1618704000.0
adk2.co,adk2.co,30-sep-2021,1632960000.0
adland.ru,adland.ru,21-may-2021,1621555200.0
adledge.com,adledge.com,23-jan-2021,1611360000.0
adlegend.com,adlegend.com,18-apr-2021,1618704000.0
adlightning.com,adlightning.com,08-dec-2021,1638921600.0
adloox.com,adloox.com,25-feb-2022,1645747200.0
adlooxtracking.com,adlooxtracking.com,18-aug-2021,1629244800.0
adlure.net,adlure.net,10-apr-2021,1618012800.0
admagnet.net,admagnet.net,27-oct-2023,1698364800.0
admailtiser.com,admailtiser.com,25-oct-2022,1666656000.0
admanmedia.com,admanmedia.com,02-sep-2021,1630540800.0
admantx.com,admantx.com,09-apr-2022,1649462400.0
admarketplace.net,admarketplace.net,11-oct-2021,1633910400.0
admarvel.com,admarvel.com,02-nov-2023,1698883200.0
admatchly.com,admatchly.com,07-nov-2021,1636243200.0
admedia.com,admedia.com,27-apr-2021,1619481600.0
admeld.com,admeld.com,05-jul-2021,1625443200.0
admeridianads.com,admeridianads.com,21-jan-2021,1611187200.0
admeta.com,admeta.com,25-oct-2021,1635120000.0
admex.com,admex.com,07-oct-2021,1633564800.0
admidadsp.com,admidadsp.com,21-jan-2021,1611187200.0
adminder.com,adminder.com,21-oct-2021,1634774400.0
adminshop.com,adminshop.com,08-dec-2021,1638921600.0
admix.in,admix.in,28-feb-2021,1614470400.0
admixer.net,admixer.net,12-apr-2021,1618185600.0
admized.com,admized.com,28-nov-2022,1669593600.0
admob.com,admob.com,07-dec-2021,1638835200.0
admonitor.com,admonitor.com,09-sep-2021,1631145600.0
admotion.com.ar,admotion.com.ar,03-oct-2021,1633219200.0
adnet.biz,adnet.biz,26-mar-2021,1616716800.0
adnet.ru,adnet.ru,17-may-2021,1621209600.0
adnetinteractive.com,adnetinteractive.com,08-sep-2021,1631059200.0
adnetwork.net,adnetwork.net,02-feb-2021,1612224000.0
adnetworkperformance.com,adnetworkperformance.com,27-apr-2021,1619481600.0
adnium.com,adnium.com,17-jun-2026,1781654400.0
adnotch.com,adnotch.com,23-apr-2021,1619136000.0
adnxs.com,adnxs.com,27-may-2022,1653609600.0
adocean.pl,adocean.pl,18-mar-2021,1616025600.0
adonspot.com,adonspot.com,24-apr-2021,1619222400.0
adoric-om.com,adoric-om.com,30-may-2027,1811635200.0
adorigin.com,adorigin.com,19-sep-2021,1632009600.0
adotmob.com,adotmob.com,04-feb-2021,1612396800.0
adpenguin.biz,adpenguin.biz,01-feb-2021,1612137600.0
adpepper.dk,adpepper.dk,31-mar-2021,1617148800.0
adperium.com,adperium.com,17-feb-2021,1613520000.0
adplus.co.id,adplus.co.id,25-apr-2021,1619308800.0
adplxmd.com,adplxmd.com,09-may-2021,1620518400.0
adprofile.net,adprofile.net,17-jun-2021,1623888000.0
adprofits.ru,adprofits.ru,26-apr-2021,1619395200.0
adrazzi.com,adrazzi.com,21-jun-2021,1624233600.0
adreactor.com,adreactor.com,12-aug-2021,1628726400.0
adreclaim.com,adreclaim.com,26-jul-2021,1627257600.0
adrecover.com,adrecover.com,06-may-2025,1746489600.0
adrecreate.com,adrecreate.com,12-dec-2021,1639267200.0
adremedy.com,adremedy.com,07-oct-2021,1633564800.0
adreporting.com,adreporting.com,01-nov-2021,1635724800.0
adrevolver.com,adrevolver.com,24-jul-2021,1627084800.0
adrta.com,adrta.com,22-jun-2023,1687392000.0
ads-click.com,ads-click.com,19-dec-2021,1639872000.0
ads-giris.com,ads-giris.com,15-apr-2021,1618444800.0
ads-kesselhaus.com,ads-kesselhaus.com,08-feb-2021,1612742400.0
ads-software.net,ads-software.net,23-apr-2021,1619136000.0
ads-twitter.com,ads-twitter.com,26-may-2022,1653523200.0
ads.biz.tr,ads.biz.tr,16-apr-2021,1618531200.0
ads.cc,ads.cc,13-jun-2021,1623542400.0
ads1-adnow.com,ads1-adnow.com,03-mar-2021,1614729600.0
ads180.com,ads180.com,05-dec-2021,1638662400.0
ads24h.net,ads24h.net,31-oct-2021,1635638400.0
ads3-adnow.com,ads3-adnow.com,03-mar-2021,1614729600.0
ads4homes.com,ads4homes.com,07-oct-2021,1633564800.0
ads8.com,ads8.com,14-aug-2021,1628899200.0
adsafeprotected.com,adsafeprotected.com,01-apr-2023,1680307200.0
adsbydelema.com,adsbydelema.com,18-nov-2021,1637193600.0
adscholar.com,adscholar.com,16-jan-2021,1610755200.0
adsclicktech.com,adsclicktech.com,03-jul-2021,1625270400.0
adsco.re,adsco.re,14-feb-2027,1802563200.0
adscpm.com,adscpm.com,08-oct-2021,1633651200.0
adsdaq.com,adsdaq.com,12-aug-2021,1628726400.0
adsensecustomsearchads.com,adsensecustomsearchads.com,28-jan-2021,1611792000.0
adserve.io,adserve.io,04-jun-2021,1622764800.0
adserver.mobi,adserver.mobi,05-jul-2021,1625443200.0
adserver.pl,adserver.pl,20-sep-2021,1632096000.0
adservern2.host,adservern2.host,15-jul-2021,1626307200.0
adserverplus.com,adserverplus.com,12-oct-2022,1665532800.0
adserverpub.com,adserverpub.com,28-nov-2021,1638057600.0
adservingfront.com,adservingfront.com,16-apr-2022,1650067200.0
adsfac.net,adsfac.net,04-sep-2021,1630713600.0
adsfac.us,adsfac.us,21-aug-2021,1629504000.0
adside.com,adside.com,24-feb-2021,1614124800.0
adsiduous.com,adsiduous.com,11-sep-2021,1631318400.0
adskeeper.co.uk,adskeeper.co.uk,16-may-2021,1621123200.0
adskpak.com,adskpak.com,07-nov-2021,1636243200.0
adsmarket.com,adsmarket.com,19-sep-2022,1663545600.0
adsmart.com,adsmart.com,08-apr-2021,1617840000.0
adsmart.net,adsmart.net,24-jun-2021,1624492800.0
adsmogo.com,adsmogo.com,02-apr-2022,1648857600.0
adsnative.com,adsnative.com,21-jun-2021,1624233600.0
adsoftware.com,adsoftware.com,14-jan-2021,1610582400.0
adsoldier.com,adsoldier.com,16-feb-2021,1613433600.0
adsolut.in,adsolut.in,11-sep-2021,1631318400.0
adspeed.net,adspeed.net,17-apr-2025,1744848000.0
adspsp.com,adspsp.com,04-apr-2021,1617494400.0
adsroller.com,adsroller.com,08-apr-2021,1617840000.0
adsrvr.org,adsrvr.org,29-mar-2021,1616976000.0
adsrvus.com,adsrvus.com,31-mar-2021,1617148800.0
adsrvx.com,adsrvx.com,04-apr-2021,1617494400.0
adstacks.in,adstacks.in,16-oct-2021,1634342400.0
adstage.io,adstage.io,21-sep-2021,1632182400.0
adstanding.com,adstanding.com,21-jan-2021,1611187200.0
adsupply.com,adsupply.com,13-aug-2022,1660348800.0
adswizz.com,adswizz.com,19-nov-2027,1826582400.0
adsxyz.com,adsxyz.com,13-jul-2021,1626134400.0
adsymptotic.com,adsymptotic.com,09-sep-2021,1631145600.0
adsynergy.com,adsynergy.com,03-oct-2021,1633219200.0
adtech-digital.ru,adtech-digital.ru,05-aug-2021,1628121600.0
adtech.com,adtech.com,26-jul-2021,1627257600.0
adtechjp.com,adtechjp.com,21-mar-2021,1616284800.0
adtechus.com,adtechus.com,26-oct-2021,1635206400.0
adtegrity.net,adtegrity.net,24-sep-2021,1632441600.0
adthis.com,adthis.com,10-sep-2021,1631232000.0
adthrive.com,adthrive.com,14-feb-2024,1707868800.0
