idna_subject,checker_type,destination,source,tested_at,session_id
1-1ads.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:44.567689,ad3d7958bbd33945bfcddb12
101com.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:44.934422,ad3d7958bbd33945bfcddb12
123freeavatars.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:45.190190,ad3d7958bbd33945bfcddb12
180hits.de,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:45.334628,ad3d7958bbd33945bfcddb12
1rx.io,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:45.441532,ad3d7958bbd33945bfcddb12
207.net,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:45.706389,ad3d7958bbd33945bfcddb12
180searchassistant.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:45.881679,ad3d7958bbd33945bfcddb12
24pm-affiliation.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:46.242010,ad3d7958bbd33945bfcddb12
24log.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:46.312715,ad3d7958bbd33945bfcddb12
24log.de,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:46.589250,ad3d7958bbd33945bfcddb12
2mdn.net,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:46.743936,ad3d7958bbd33945bfcddb12
2o7.net,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:46.816690,ad3d7958bbd33945bfcddb12
2znp09oa.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:47.289129,ad3d7958bbd33945bfcddb12
30ads.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:47.304241,ad3d7958bbd33945bfcddb12
33across.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:48.050106,ad3d7958bbd33945bfcddb12
3lift.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:48.715296,ad3d7958bbd33945bfcddb12
360yield.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:49.209235,ad3d7958bbd33945bfcddb12
3o9s.short.gy,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:49.216313,ad3d7958bbd33945bfcddb12
4d5.net,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:49.888071,ad3d7958bbd33945bfcddb12
3337723.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:50.376059,ad3d7958bbd33945bfcddb12
4jnzhl0d0.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:50.580962,ad3d7958bbd33945bfcddb12
50websads.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:51.463010,ad3d7958bbd33945bfcddb12
5mcwl.pw,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:52.112651,ad3d7958bbd33945bfcddb12
518ad.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:52.723566,ad3d7958bbd33945bfcddb12
6ldu6qa.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:52.760865,ad3d7958bbd33945bfcddb12
6sc.co,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:53.234392,ad3d7958bbd33945bfcddb12
77tracking.com,AVAILABILITY,origin.list,origin.list,2023-03-03 05:42:54.257629,ad3d7958bbd33945bfcddb12
