# Generated by PyFunceble (v4.2.0.dev) / https://pyfunceble.github.io
# Date of generation: 2023-06-09T06:27:30.399855

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                72%          296         
GoDaddy.com, LLC               10%          40          
Amazon Registrar, Inc.         4%           16          
OVH sas                        2%           8           
OVH                            1%           6           
CSC Corporate Domains, Inc.    1%           4           
MarkMonitor Inc.               1%           4           
Namecheap                      1%           4           
123-Reg Limited                0%           2           
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) 0%           2           
CloudFlare, Inc.               0%           2           
DYNADOT, LLC                   0%           2           
DomainSpot LLC                 0%           2           
EuroDNS                        0%           2           
Google LLC                     0%           2           
NameCheap, Inc.                72%          296         
GoDaddy.com, LLC               10%          40          
Amazon Registrar, Inc.         4%           16          
OVH sas                        2%           8           
OVH                            1%           6           
CSC Corporate Domains, Inc.    1%           4           
MarkMonitor Inc.               1%           4           
Namecheap                      1%           4           
123-Reg Limited                0%           2           
Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn) 0%           2           
CloudFlare, Inc.               0%           2           
DYNADOT, LLC                   0%           2           
DomainSpot LLC                 0%           2           
EuroDNS                        0%           2           
Google LLC                     0%           2           
